Energías;RENOVABLE;2021;2022;2023;2024;2025
Hidráulica;si; 29.626,01 ; 17.911,11 ; 25.764,76 ; 34.949,82 ; 33.684,52 
Eólica;si; 60.525,66 ; 61.194,60 ; 62.672,38 ; 60.912,22 ; 58.800,80 
Solar fotovoltaica;si; 20.981,04 ; 27.906,02 ; 37.453,80 ; 44.598,99 ; 50.187,68 
Solar térmica;si; 4.705,52 ; 4.123,19 ; 4.695,81 ; 4.127,37 ; 3.681,86 
Hidroeólica;si; 23,10 ; 22,88 ; 17,86 ; 23,35 ; 21,93 
Otras renovables;si; 4.719,87 ; 4.659,70 ; 3.595,14 ; 3.691,76 ; 3.900,06 
Residuos renovables;si; 877,94 ; 877,71 ; 846,04 ; 804,90 ; 711,51 
Nuclear;no; 54.041,02 ; 55.934,11 ; 54.647,43 ; 52.390,80 ; 51.846,16 
Ciclo combinado;no; 44.500,10 ; 68.137,49 ; 46.682,23 ; 35.754,98 ; 45.731,59 
Carbón;no; 4.983,15 ; 7.762,19 ; 4.006,41 ; 3.030,44 ; 1.515,58 
Motores diésel;no; 2.517,42 ; 2.548,20 ; 2.560,72 ; 2.538,40 ; 2.545,87 
Turbina de gas;no; 423,58 ; 657,48 ; 761,25 ; 668,62 ; 687,12 
Turbina de vapor;no; 1.108,06 ; 1.207,23 ; 1.254,89 ; 1.179,36 ; 2.362,21 
Cogeneración;no; 26.090,65 ; 17.749,79 ; 17.329,69 ; 16.417,96 ; 15.456,03 
Residuos no renovables;no; 2.238,74 ; 1.900,07 ; 1.323,87 ; 1.345,81 ; 1.067,68 
Turbinación bombeo;; 2.649,32 ; 3.776,15 ; 5.204,59 ; 5.458,42 ; 5.886,02 
